Brand,Date,Day,Index,Beverage,Beer,Wine,Liquor,Miscellaneous1,Retail Sales,Food Supplies,Labor,Cash Flow,Ordered,Quantity,Unit Cost,Ext Value,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Extra_10,Extra_11,Extra_12,Extra_13,Extra_14,Extra_15,Extra_16,Extra_17,Extra_18,Extra_19,Extra_20,Extra_21
Clase Azul Plata Tequila 750ml,1.0,11,11,9211,101321,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Clase Azul Reposado Tequila 750ml,1.0,075,075,14917,1118775,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Corralejo Anejo Tequila 750ml,1.0,205,205,3519,721395,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Corralejo Blanco 750ml,1.0,055,055,2479,136345,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Corralejo Reposado 750ml,1.0,27,27,2826,76302,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
El Jimador Blanco Tequila 1L,1.0,415,415,1979,821285,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
El Toro Silver Tequila 1L,1.0,47,47,876,41172,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Herradura Silver Tequila 1L,1.0,315,315,3919,1234485,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
JC Reserva de la Familia Repo 750ml,1.0,12,12,6919,83028,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jose Cuervo Especial Gold Tequila 1L,1.0,36,36,2239,80604,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Patron Silver Tequila 750ml,1.0,43,43,4159,178837,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LiquorTequila Subtotal,1.0,368,368,1587726989,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Absolut 1L,1.0,125,125,1922,24025,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Belvedere Vodka 750ml,1.0,065,065,2249,146185,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Belvedere Vodka 1L,1.0,17,17,2977,50609,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Chopin Potato Vodka 1L,1.0,3,3,2719,8157,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Deep Eddy Lemon Vodka 1L,1.0,35,35,1999,69965,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Deep Eddy Peach 1L,1.0,41,41,1999,81959,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Deep Eddy Ruby Red Vodka 1L,1.0,245,245,1999,489755,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Finlandia Vodka 1L,1.0,12,12,1279,15348,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Grey Goose Vodka 1L,1.0,16,16,264,4224,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
